0,1,2,Category,Adjusted_Max_Similarity_Score,Status
s520107838.py,1.0,10,Plagiarized,1.0,1
s610754711.py,1.0,15,Plagiarized,1.0,1
s641745360.py,1.0,8,Plagiarized,1.0,1
s741532770.py,1.0,6,Plagiarized,1.0,1
s870913137.py,1.0,10,Plagiarized,1.0,1
s984955497.py,1.0,6,Plagiarized,1.0,1
s297404622.py,0.97,11,Plagiarized,0.97,1
s733218065.py,0.97,12,Plagiarized,0.97,1
s341537607.py,0.84,13,Plagiarized,0.84,1
s723465919.py,0.84,14,Plagiarized,0.84,1
s593776018.py,0.84,7,Plagiarized,0.84,1
s466731566.py,0.83,12,Plagiarized,0.83,1
s701205504.py,0.83,10,Plagiarized,0.83,1
s380461319.py,0.83,16,Plagiarized,0.83,1
s970523655.py,0.83,12,Plagiarized,0.83,1
s053365507.py,0.83,8,Plagiarized,0.83,1
s583583638.py,0.83,6,Plagiarized,0.83,1
s709229275.py,0.83,9,Plagiarized,0.83,1
s873998857.py,0.83,10,Plagiarized,0.83,1
s446998646.py,0.82,7,Plagiarized,0.82,1
s180888429.py,0.82,12,Plagiarized,0.82,1
plag3.py,0.81,10,Plagiarized,0.81,1
s055825692.py,0.81,10,Plagiarized,0.81,1
s481888515.py,0.79,20,Potentially Plagiarized,0.8966666666666667,1
s973611338.py,0.79,19,Potentially Plagiarized,0.8966666666666667,1
s498899286.py,0.78,16,Potentially Plagiarized,0.8866666666666667,1
s573331362.py,0.77,12,Potentially Plagiarized,0.8766666666666667,1
s741327405.py,0.77,15,Potentially Plagiarized,0.8766666666666667,1
s413173167.py,0.77,10,Potentially Plagiarized,0.8766666666666667,1
s980017434.py,0.77,10,Potentially Plagiarized,0.8766666666666667,1
s861640367.py,0.76,15,Potentially Plagiarized,0.8666666666666667,1
s930538282.py,0.76,11,Potentially Plagiarized,0.8666666666666667,1
s071234065.py,0.76,13,Potentially Plagiarized,0.8666666666666667,1
s374964337.py,0.76,15,Potentially Plagiarized,0.8666666666666667,1
s064347431.py,0.75,9,Potentially Plagiarized,0.8566666666666667,1
s275762819.py,0.75,14,Potentially Plagiarized,0.8566666666666667,1
s664246336.py,0.75,14,Potentially Plagiarized,0.8566666666666667,1
s735046386.py,0.75,14,Potentially Plagiarized,0.8566666666666667,1
s133455687.py,0.73,15,Potentially Plagiarized,0.8366666666666667,1
s314229595.py,0.73,19,Potentially Plagiarized,0.8366666666666667,1
